# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 999, i.e. number of multipoles equal to 998
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:lens[1]-lens[1]        3:lens[1]-lens[2]        4:lens[2]-lens[2]    
  221       4.035481716399e-15       9.402383138335e-15       3.775573651509e-14 
  222       3.978871618922e-15       9.271106697634e-15       3.721928059347e-14 
  223       3.923211529041e-15       9.142047317342e-15       3.669204530248e-14 
  224       3.868448014962e-15       9.015079973965e-15       3.617350598221e-14 
  225       3.814571889527e-15       8.890182956915e-15       3.566356964378e-14 
  226       3.761584318649e-15       8.767358730882e-15       3.516224440397e-14 
  227       3.709485234373e-15       8.646606880089e-15       3.466952647254e-14 
  228       3.658273315215e-15       8.527924062438e-15       3.418539996317e-14 
  229       3.607945966500e-15       8.411303963659e-15       3.370983670446e-14 
  230       3.558499300701e-15       8.296737251462e-15       3.324279605090e-14 
  231       3.509928117777e-15       8.184211529685e-15       3.278422469388e-14 
  232       3.462225885511e-15       8.073711292445e-15       3.233405647267e-14 
  233       3.415384719849e-15       7.965217878283e-15       3.189221218538e-14 
  234       3.369395365240e-15       7.858709424319e-15       3.145859939997e-14 
  235       3.324247174972e-15       7.754160820399e-15       3.103311226525e-14 
  236       3.279928091511e-15       7.651543663244e-15       3.061563132182e-14 
  237       3.236424626841e-15       7.550826210599e-15       3.020602331311e-14 
  238       3.193721842801e-15       7.451973335384e-15       2.980414099633e-14 
  239       3.151803331425e-15       7.354946479843e-15       2.940982295344e-14 
  240       3.110651195278e-15       7.259703609694e-15       2.902289340220e-14 
  241       3.070246027796e-15       7.166199168275e-15       2.864316200709e-14 
  242       3.030566893627e-15       7.074384030698e-15       2.827042369034e-14 
  243       2.991591308964e-15       6.984205457998e-15       2.790445844287e-14 
  244       2.953295221888e-15       6.895607051277e-15       2.754503113533e-14 
  245       2.915652992704e-15       6.808528705862e-15       2.719189132905e-14 
  246       2.878637374282e-15       6.722906565446e-15       2.684477308705e-14 
  247       2.842219492392e-15       6.638672976243e-15       2.650339478498e-14 
  248       2.806368826046e-15       6.555756441135e-15       2.616745892216e-14 
  249       2.771053187833e-15       6.474081573825e-15       2.583665193254e-14 
  250       2.736244799957e-15       6.393583308094e-15       2.551070301794e-14 
  251       2.701938951782e-15       6.314250529626e-15       2.518956480313e-14 
  252       2.668136381049e-15       6.236084873652e-15       2.487324274144e-14 
  253       2.634837267125e-15       6.159086677969e-15       2.456173695508e-14 
  254       2.602041223000e-15       6.083254964344e-15       2.425504215895e-14 
  255       2.569747287281e-15       6.008587419928e-15       2.395314758456e-14 
  256       2.537953916189e-15       5.935080378667e-15       2.365603690383e-14 
  257       2.506658975552e-15       5.862728802710e-15       2.336368815299e-14 
  258       2.475859732802e-15       5.791526263819e-15       2.307607365643e-14 
  259       2.445552848974e-15       5.721464924783e-15       2.279315995052e-14 
  260       2.415734370695e-15       5.652535520822e-15       2.251490770753e-14 
  261       2.386399722184e-15       5.584727341003e-15       2.224127165943e-14 
  262       2.357543697247e-15       5.518028209648e-15       2.197220052176e-14 
  263       2.329160451273e-15       5.452424467744e-15       2.170763691753e-14 
  264       2.301243493228e-15       5.387900954352e-15       2.144751730102e-14 
  265       2.273785677651e-15       5.324440988021e-15       2.119177188165e-14 
  266       2.246779196651e-15       5.262026348192e-15       2.094032454788e-14 
  267       2.220215571900e-15       5.200637256617e-15       2.069309279101e-14 
  268       2.194085646631e-15       5.140252358760e-15       2.044998762907e-14 
  269       2.168379577635e-15       5.080848705213e-15       2.021091353067e-14 
  270       2.143086827251e-15       5.022401733107e-15       1.997576833885e-14 
  271       2.118196155367e-15       4.964885247515e-15       1.974444319494e-14 
  272       2.093695611413e-15       4.908271402871e-15       1.951682246243e-14 
  273       2.069572526357e-15       4.852530684376e-15       1.929278365082e-14 
  274       2.045813504701e-15       4.797631889407e-15       1.907219733947e-14 
  275       2.022404416476e-15       4.743542108929e-15       1.885492710144e-14 
  276       1.999330389239e-15       4.690226708906e-15       1.864082942740e-14 
  277       1.976575800067e-15       4.637649311710e-15       1.842975364944e-14 
  278       1.954124267553e-15       4.585771777530e-15       1.822154186493e-14 
  279       1.931961729445e-15       4.534561367350e-15       1.801605844203e-14 
  280       1.910085868531e-15       4.484012680888e-15       1.781328038472e-14 
  281       1.888497159504e-15       4.434126819018e-15       1.761321150113e-14 
  282       1.867195824054e-15       4.384904297054e-15       1.741585321301e-14 
  283       1.846181827604e-15       4.336345037192e-15       1.722120452506e-14 
  284       1.825454876047e-15       4.288448360956e-15       1.702926199423e-14 
  285       1.805014412479e-15       4.241212981633e-15       1.684001969900e-14 
  286       1.784859613936e-15       4.194636996722e-15       1.665346920867e-14 
  287       1.764989388130e-15       4.148717880369e-15       1.646959955270e-14 
  288       1.745402370183e-15       4.103452475815e-15       1.628839718996e-14 
  289       1.726096919361e-15       4.058836987833e-15       1.610984597804e-14 
  290       1.707071115815e-15       4.014866975173e-15       1.593392714258e-14 
  291       1.688322757310e-15       3.971537343001e-15       1.576061924651e-14 
  292       1.669849355965e-15       3.928842335344e-15       1.558989815939e-14 
  293       1.651648134985e-15       3.886775527530e-15       1.542173702672e-14 
  294       1.633716025401e-15       3.845329818629e-15       1.525610623916e-14 
  295       1.616049662799e-15       3.804497423896e-15       1.509297340194e-14 
  296       1.598645384063e-15       3.764269867212e-15       1.493230330405e-14 
  297       1.581499224104e-15       3.724637973529e-15       1.477405788760e-14 
  298       1.564606912598e-15       3.685591861306e-15       1.461819621711e-14 
  299       1.547963870724e-15       3.647120934956e-15       1.446467444880e-14 
  300       1.531565207893e-15       3.609213877285e-15       1.431344579987e-14 
  301       1.515405718490e-15       3.571858641934e-15       1.416446051783e-14 
  302       1.499479878607e-15       3.535042445823e-15       1.401766584977e-14 
  303       1.483781842777e-15       3.498751761590e-15       1.387300601167e-14 
  304       1.468305440711e-15       3.462972310035e-15       1.373042215771e-14 
  305       1.453044174033e-15       3.427689052559e-15       1.358985234953e-14 
  306       1.437991213017e-15       3.392886183609e-15       1.345123152557e-14 
  307       1.423139393319e-15       3.358547123119e-15       1.331449147034e-14 
  308       1.408481212716e-15       3.324654508950e-15       1.317956078372e-14 
  309       1.394008827839e-15       3.291190189334e-15       1.304636485027e-14 
  310       1.379714050910e-15       3.258135215314e-15       1.291482580852e-14 
  311       1.365588346477e-15       3.225469833187e-15       1.278486252026e-14 
  312       1.351624425596e-15       3.193177174681e-15       1.265640566514e-14 
  313       1.337821116836e-15       3.161254532230e-15       1.252944386151e-14 
  314       1.324178714906e-15       3.129702592104e-15       1.240397962560e-14 
  315       1.310697402298e-15       3.098521780836e-15       1.228001442707e-14 
  316       1.297377247974e-15       3.067712262209e-15       1.215754867692e-14 
  317       1.284218206073e-15       3.037273934244e-15       1.203658171537e-14 
  318       1.271220114606e-15       3.007206426182e-15       1.191711179971e-14 
  319       1.258382694154e-15       2.977509095470e-15       1.179913609222e-14 
  320       1.245705546566e-15       2.948181024748e-15       1.168265064805e-14 
  321       1.233188153660e-15       2.919221018835e-15       1.156765040309e-14 
  322       1.220829875919e-15       2.890627601713e-15       1.145412916185e-14 
  323       1.208629951191e-15       2.862399013514e-15       1.134207958536e-14 
  324       1.196587493385e-15       2.834533207504e-15       1.123149317903e-14 
  325       1.184701491172e-15       2.807027847071e-15       1.112236028058e-14 
  326       1.172970806684e-15       2.779880302706e-15       1.101467004786e-14 
  327       1.161394174207e-15       2.753087648995e-15       1.090841044678e-14 
  328       1.149970198887e-15       2.726646661600e-15       1.080356823917e-14 
  329       1.138697355422e-15       2.700553814245e-15       1.070012897067e-14 
  330       1.127573986764e-15       2.674805275705e-15       1.059807695864e-14 
  331       1.116598302816e-15       2.649396906786e-15       1.049739527998e-14 
  332       1.105768379132e-15       2.624324257316e-15       1.039806575907e-14 
  333       1.095082155613e-15       2.599582563126e-15       1.030006895564e-14 
  334       1.084537435205e-15       2.575166743040e-15       1.020338415264e-14 
  335       1.074131882603e-15       2.551071395859e-15       1.010798934413e-14 
  336       1.063863022943e-15       2.527290797342e-15       1.001386122317e-14 
  337       1.053728240501e-15       2.503818897201e-15       9.920975169691e-15 
  338       1.043724777396e-15       2.480649316076e-15       9.829305238394e-15 
  339       1.033849732285e-15       2.457775342530e-15       9.738824146617e-15 
  340       1.024100059062e-15       2.435189930029e-15       9.649503262228e-15 
  341       1.014472565554e-15       2.412885693928e-15       9.561312591507e-15 
  342       1.004963912225e-15       2.390854908459e-15       9.474220767027e-15 
  343       9.955706108689e-16       2.369089503714e-15       9.388195035538e-15 
  344       9.862890233119e-16       2.347581062633e-15       9.303201245853e-15 
  345       9.771153601077e-16       2.326320817988e-15       9.219203836729e-15 
  346       9.680456792380e-16       2.305299649368e-15       9.136165824750e-15 
  347       9.590758848100e-16       2.284508080167e-15       9.054048792210e-15 
  348       9.502017257552e-16       2.263936274567e-15       8.972812874998e-15 
  349       9.414195764052e-16       2.243575846104e-15       8.892424062112e-15 
  350       9.327288166683e-16       2.223425372436e-15       8.812876453640e-15 
  351       9.241295481703e-16       2.203485103739e-15       8.734170903585e-15 
  352       9.156218207665e-16       2.183755170571e-15       8.656307786746e-15 
  353       9.072056320077e-16       2.164235582634e-15       8.579286993785e-15 
  354       8.988809266069e-16       2.144926227539e-15       8.503107926288e-15 
  355       8.906475959062e-16       2.125826869576e-15       8.427769491837e-15 
  356       8.825054773428e-16       2.106937148473e-15       8.353270099071e-15 
  357       8.744543539159e-16       2.088256578167e-15       8.279607652759e-15 
  358       8.664939536527e-16       2.069784545564e-15       8.206779548858e-15 
  359       8.586239490756e-16       2.051520309309e-15       8.134782669585e-15 
  360       8.508439566682e-16       2.033462998549e-15       8.063613378484e-15 
  361       8.431535363421e-16       2.015611611698e-15       7.993267515487e-15 
